time,computer_source,user,computer_dest,label
87151,C288750,U451666,C313779,0
87451,C288750,U451666,C313779,0
100695,C206546,U457678,C639081,0
100695,C206546,U457678,C639081,0
101274,C206546,U416717,C825721,0
101274,C206546,U416717,C825721,0
102445,C442386,U932663,C395501,0
103431,C206546,U209708,C223332,0
103431,C206546,U209708,C223332,0
105142,C206546,U724397,C139916,0
105142,C206546,U724397,C139916,0
106580,C206546,U801054,C775418,0
106580,C206546,U801054,C775418,0
107201,C206546,U192765,C942538,0
108254,C206546,U282653,C101653,0
108300,C206546,U882674,C738235,0
108739,C206546,U711996,C409169,0
108943,C206546,U854867,C207275,0
110093,C460376,U449100,C735514,0
110196,C073202,U225859,C834776,0
110205,C763951,U625392,C384732,0
110289,C166741,U393794,C370170,0
110289,C166741,U393794,C370170,0
110355,C166741,U393794,C370170,0
110355,C166741,U393794,C370170,0
110474,C206546,U309566,C489019,0
110496,C298039,U743804,EnterpriseAppServer,0
110748,C704060,U181140,C108007,0
110761,C704060,U181140,C116688,0
110761,C704060,U181140,C116688,0
110776,C193064,U225524,C449469,0
110776,C193064,U225524,C449469,0
110824,C499799,U296959,C128150,0
110824,C499799,U296959,C128150,0
110927,C942243,U526740,C291378,0
111060,C206546,U309566,C489019,0
111093,C206546,U192765,C942538,0
111134,C206546,U644512,C282775,0
111199,C265151,U569311,C157898,0
111299,C217088,U703614,EnterpriseAppServer,0
111348,VPN,U703614,EnterpriseAppServer,0
111396,C206546,U522629,C186551,0
111465,VPN,AppService,EnterpriseAppServer,0
111732,C217088,U244822,C911314,0
111739,C206546,U356036,C658570,0
111739,C206546,U356036,C658570,0
111816,C206546,U208750,C840438,0
111863,VPN,U002920,EnterpriseAppServer,0
111894,C206546,U275545,C886820,0
111922,VPN,U688301,EnterpriseAppServer,0
111996,C590388,U740197,C905680,0
112010,C159603,U236032,C173130,0
112032,C206546,U480259,C297473,0
112032,C206546,U480259,C297473,0
112056,C600648,U837118,C597356,0
112056,C600648,U837118,C597356,0
112079,C399174,U126990,C834715,0
112087,C376934,U973220,C562736,0
112087,C376934,U973220,C562736,0
112094,C324304,U775371,C761044,0
112116,C324304,U775371,C639874,0
112116,C324304,U775371,C639874,0
112194,C206546,U735730,C502166,0
112249,C618482,U143940,C072833,0
112352,C618482,U410256,C072833,0
112433,C206546,U080603,C190500,0
112558,C649154,U074831,C093279,0
112578,C658570,U688301,EnterpriseAppServer,0
112582,C770200,Administrator,C995183,0
112696,C938178,U573556,C163087,0
112696,C938178,U573556,C163087,0
112704,C206546,U133562,C657443,0
112786,C005555,U774340,C065505,0
112786,C005555,U774340,C065505,0
112819,C442740,U489161,C291378,0
112879,VPN,U279235,EnterpriseAppServer,0
112907,VPN,U663891,EnterpriseAppServer,0
112964,VPN,U663891,EnterpriseAppServer,0
112965,C770259,U080700,C652412,0
113004,C922201,U632036,C747852,0
113006,VPN,U663891,EnterpriseAppServer,0
113025,C640322,U422391,C778625,0
113042,C277495,U765669,C456767,0
113042,C277495,U765669,C456767,0
113087,VPN,U663891,EnterpriseAppServer,0
113113,C610814,U339149,C425568,0
113145,C070384,U384628,C215836,0
113148,VPN,U663891,EnterpriseAppServer,0
113300,C748422,U000992,C383107,0
113300,C748422,U000992,C383107,0
113315,C206546,U445261,C952934,0
113315,C206546,U445261,C952934,0
113335,C933307,U025370,EnterpriseAppServer,0
113459,VPN,U663891,EnterpriseAppServer,0
113499,C246334,U492761,C543014,0
113538,VPN,U663891,C852153,0
113544,C618482,U410256,C072833,0
113583,C206546,U635619,C786792,0
113628,VPN,U341426,C358674,0
113648,VPN,U663891,EnterpriseAppServer,0
113648,C706148,U983142,C567126,0
113648,C706148,U983142,C567126,0
113827,VPN,U663891,C884653,0
113893,C206546,U957693,C088642,0
113893,C206546,U957693,C088642,0
113938,VPN,U663891,C404369,0
113954,C640603,U477986,C970757,0
113956,C206546,U983780,C460088,0
114015,C102246,U144268,C126720,0
114015,C102246,U144268,C126720,0
114037,C239020,U516739,C030698,0
114158,C640603,U477986,C148386,0
114158,C640603,U477986,C148386,0
114284,C612934,U852109,C395501,0
114307,EnterpriseAppServer,U688301,C894088,0
114309,C831648,U788153,C395501,0
114313,EnterpriseAppServer,U688301,C698972,0
114319,EnterpriseAppServer,U688301,C807801,0
114326,EnterpriseAppServer,U688301,C581624,0
114413,C721324,U289276,C599075,0
114413,C721324,U289276,C599075,0
114422,C706148,U983142,C567126,0
114422,C706148,U983142,C567126,0
114535,EnterpriseAppServer,U688301,EnterpriseAppServer,0
114542,EnterpriseAppServer,U688301,EnterpriseAppServer,0
114542,C600648,U837118,C597356,0
114542,C600648,U837118,C597356,0
114556,EnterpriseAppServer,U688301,EnterpriseAppServer,0
114563,C786792,U635619,C008372,0
114704,C255803,U854310,C753366,0
114704,C255803,U854310,C753366,0
114804,C466662,U193463,C955531,0
114874,C390104,U873517,C090725,0
114974,C390104,U873517,C090725,0
114993,C835004,U235899,C065969,0
115058,C206546,U464287,C199570,0
115061,C265151,U569311,C157898,0
115063,C206546,U281937,C552084,0
115063,C206546,U281937,C552084,0
115212,C023550,U675827,C395501,0
115212,C818121,U028050,C588737,0
115212,C818121,U028050,C588737,0
115247,C706148,U740419,C567126,0
115247,C706148,U740419,C567126,0
115267,C710739,U998275,C820978,0
115299,C136816,U834384,C185344,0
115324,C623258,U225859,C835177,0
115342,C206546,U864333,C566304,0
115420,C938178,U573556,C163087,0
115420,C938178,U573556,C163087,0
115422,C828492,U824658,C456098,0
115422,C828492,U824658,C456098,0
115440,C067947,U304350,C237480,0
115440,C067947,U304350,C237480,0
115550,C922201,U063176,C478522,0
115550,C922201,U063176,C478522,0
115653,C621735,U677416,C281653,0
115656,C828492,U824658,C456098,0
115656,C828492,U824658,C456098,0
115684,C092898,U859181,C853308,0
115684,C092898,U859181,C853308,0
115695,C283798,U997340,C445881,0
115732,C828492,U001230,C456098,0
115882,C835750,U839955,C191118,0
115882,C835750,U839955,C191118,0
115953,EnterpriseAppServer,U134943,C627959,0
115977,C283798,U997340,C445881,0
116004,VPN,U969434,EnterpriseAppServer,0
116037,C355169,U583334,C657127,0
116037,C355169,U583334,C657127,0
116096,C206546,U480259,C297473,0
116096,C206546,U480259,C297473,0
116142,C283798,U997340,C445881,0
116212,C045453,U596143,C506838,0
116251,C843426,U109559,C014546,0
116260,C922201,U632036,C478522,0
116330,C645686,U805075,C398629,0
116479,C828425,U792206,C625078,0
116479,C828425,U792206,C625078,0
116491,C071412,U646021,C291378,0
116491,C071412,U646021,C291378,0
116622,C206546,U801054,C775418,0
116622,C206546,U801054,C775418,0
116630,C850116,U103377,C702840,0
116686,C206546,U730086,C291849,0
116696,C649154,U074831,C093279,0
116708,C483929,U602468,C705213,0
116779,C206546,U824084,C593577,0
116792,C710739,U998275,C820978,0
116814,C283798,U997340,C445881,0
116816,C221752,U427735,C906551,0
116837,VPN,U282518,EnterpriseAppServer,0
116858,VPN,U282518,EnterpriseAppServer,0
116884,C936297,U574243,C513447,0
116901,C629459,U780272,C444968,0
116901,C629459,U780272,C444968,0
116907,C942155,U572698,C706544,0
116908,C283798,U997340,C445881,0
116908,C220468,U324089,C838554,0
116971,C166741,U393794,C370170,0
116971,C166741,U393794,C370170,0
117167,C900716,U236068,C962930,0
117195,C429360,U962147,C735033,0
117197,C285093,U737505,C291378,0
117213,C206546,U824084,C593577,0
117243,C355169,U583334,C745647,0
117243,C355169,U583334,C745647,0
117259,C104381,U276734,C753615,0
117260,C492567,U668519,C786186,0
117276,C206546,U933240,C707103,0
117276,C206546,U933240,C707103,0
117312,C649154,U074831,C093279,0
117324,C299732,U403510,C009312,0
117334,C283798,U997340,C445881,0
117401,C283798,U997340,C445881,0
117432,C546162,U361204,C073704,0
117464,C283798,U997340,C445881,0
117493,C348435,U511703,C002475,0
117499,C283798,U997340,C445881,0
117537,C535288,U451666,C313779,0
117539,C283798,U997340,C445881,0
117548,C735514,U449100,C194003,0
117549,C735514,U449100,C978637,0
117550,C520997,U449100,C520997,0
117550,C520997,U449100,C520997,0
117551,C216328,U449100,C216328,0
117551,C216328,U449100,C216328,0
117553,C443471,U449100,C443471,0
117553,C443471,U449100,C443471,0
117556,C749049,U449100,C749049,0
117556,C749049,U449100,C749049,0
117557,C239408,U449100,C239408,0
117557,C239408,U449100,C239408,0
117563,C600536,U618576,C916004,0
117601,C140913,U452437,C145095,0
117629,C525562,U144268,C102246,0
117676,C735514,U449100,C802048,0
117677,C735514,U449100,C405952,0
117678,C160390,U506392,C445881,0
117680,C922201,U632036,C478522,0
117680,C735514,U449100,C357280,0
117680,C735514,U449100,C640974,0
117682,C735514,U449100,C372542,0
117685,C735514,U449100,C348022,0
117686,C735514,U449100,C286680,0
117697,C355169,U583334,C904913,0
117697,C355169,U583334,C904913,0
117710,C735514,U449100,C506555,0
117711,C254962,U914520,C239051,0
117746,C160390,U506392,C445881,0
117845,C437620,U120172,C291378,0
117863,C248734,U760237,C384732,0
117891,C104285,U743350,C384732,0
117910,C388528,U973087,C645343,0
117915,C438842,U126990,C145215,0
117915,C438842,U126990,C145215,0
117922,C366911,U410256,C134467,0
117922,C366911,U410256,C134467,0
117922,C331508,U230237,C163357,0
117937,C104381,U282718,C753615,0
117937,C735514,U449100,C935081,0
117940,C735514,U449100,C482561,0
117942,C620425,U449100,C620425,0
117942,C620425,U449100,C620425,0
117944,C735514,U449100,C148498,0
117944,C735514,U449100,C148498,0
117945,C233911,U449100,C233911,0
117945,C233911,U449100,C233911,0
117946,C463349,U449100,C463349,0
117946,C463349,U449100,C463349,0
117957,C740576,U989392,C643143,0
117957,C740576,U989392,C643143,0
117978,C296766,U449100,C296766,0
117978,C296766,U449100,C296766,0
118001,C073375,U449100,C073375,0
118001,C073375,U449100,C073375,0
118016,C118495,U829024,C674748,0
118016,C118495,U829024,C674748,0
118021,C835004,U235899,C148386,0
118021,C835004,U235899,C148386,0
118066,C640603,U477986,C306852,0
118070,C044445,U438177,C335487,0
118093,C437620,U120172,C291378,0
118121,C535288,U451666,C313779,0
118140,EnterpriseAppServer,U379750,C239170,0
118140,EnterpriseAppServer,U379750,C239170,0
118169,C572355,U810686,C703499,0
118169,C572355,U810686,C703499,0
118243,C140179,U967898,C291378,0
118267,C735514,U449100,C194003,0
118269,C735514,U449100,C978637,0
118276,C735514,U449100,C369592,0
118358,C274105,U640357,C995183,0
